Time,Temp.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5:12:25,37,0.088,0.088,0.088,0.466,0.09,0.089,0.463,0.088,0.092,0.437,0.084,0.09,0.085,0.086,0.086,0.085,0.086,0.089,0.087,0.088,0.089,0.086,0.088,0.086,0.087,0.084,0.084,0.083,0.084,0.086,0.084,0.084,0.088,0.085,0.087,0.084,0.669,0.089,0.089,0.58,0.088,0.088,0.59,0.088,0.088,0.482,0.087,0.089,0.086,0.085,0.084,0.084,0.083,0.086,0.085,0.086,0.087,0.089,0.087,0.088,0.087,0.086,0.085,0.084,0.084,0.086,0.089,0.087,0.087,0.091,0.093,0.09,0.465,0.089,0.088,0.526,0.088,0.089,0.451,0.089,0.089,0.61,0.085,0.086,0.085,0.086,0.088,0.085,0.088,0.087,0.088,0.088,0.087,0.086,0.084,0.085
5:27:25,37,0.088,0.088,0.088,0.479,0.089,0.089,0.474,0.088,0.092,0.446,0.084,0.091,0.085,0.086,0.086,0.085,0.086,0.089,0.087,0.088,0.089,0.086,0.088,0.086,0.088,0.084,0.084,0.083,0.084,0.084,0.084,0.084,0.088,0.085,0.088,0.084,0.612,0.089,0.089,0.604,0.088,0.088,0.623,0.088,0.088,0.513,0.087,0.089,0.086,0.085,0.084,0.084,0.084,0.086,0.085,0.086,0.087,0.089,0.087,0.088,0.087,0.086,0.086,0.084,0.083,0.086,0.088,0.087,0.086,0.092,0.092,0.089,0.472,0.089,0.088,0.557,0.088,0.089,0.448,0.089,0.088,0.598,0.085,0.086,0.085,0.086,0.088,0.085,0.088,0.087,0.088,0.088,0.086,0.086,0.084,0.085
5:42:25,37,0.088,0.088,0.088,0.484,0.089,0.089,0.482,0.088,0.092,0.464,0.084,0.091,0.085,0.086,0.086,0.085,0.086,0.088,0.086,0.088,0.089,0.086,0.087,0.085,0.088,0.084,0.083,0.083,0.084,0.084,0.084,0.084,0.088,0.085,0.088,0.085,0.667,0.089,0.089,0.61,0.088,0.088,0.645,0.088,0.088,0.506,0.086,0.088,0.086,0.085,0.084,0.085,0.084,0.086,0.086,0.086,0.087,0.089,0.087,0.088,0.087,0.086,0.086,0.085,0.083,0.086,0.089,0.086,0.086,0.091,0.093,0.09,0.478,0.089,0.088,0.536,0.088,0.088,0.449,0.088,0.088,0.597,0.085,0.086,0.085,0.086,0.088,0.086,0.088,0.087,0.088,0.088,0.087,0.086,0.084,0.085
5:57:25,37,0.088,0.088,0.088,0.492,0.09,0.089,0.493,0.088,0.092,0.487,0.084,0.091,0.085,0.086,0.086,0.085,0.086,0.088,0.087,0.087,0.089,0.086,0.087,0.085,0.087,0.084,0.084,0.083,0.084,0.086,0.084,0.084,0.087,0.085,0.087,0.085,0.686,0.089,0.089,0.629,0.088,0.088,0.682,0.088,0.088,0.526,0.086,0.088,0.086,0.085,0.085,0.085,0.084,0.086,0.086,0.086,0.087,0.089,0.087,0.088,0.087,0.086,0.086,0.085,0.084,0.087,0.089,0.087,0.087,0.091,0.093,0.09,0.485,0.089,0.088,0.522,0.088,0.089,0.454,0.089,0.088,0.556,0.085,0.086,0.085,0.086,0.088,0.086,0.088,0.087,0.088,0.089,0.087,0.086,0.084,0.085
6:12:25,37,0.088,0.088,0.088,0.508,0.089,0.089,0.495,0.088,0.092,0.496,0.084,0.092,0.085,0.085,0.086,0.085,0.087,0.089,0.086,0.088,0.089,0.086,0.086,0.085,0.087,0.084,0.084,0.084,0.084,0.089,0.084,0.084,0.087,0.084,0.087,0.085,0.695,0.089,0.089,0.649,0.088,0.088,0.707,0.088,0.088,0.537,0.087,0.088,0.086,0.086,0.085,0.085,0.084,0.086,0.086,0.087,0.087,0.09,0.087,0.088,0.087,0.086,0.086,0.085,0.085,0.087,0.089,0.087,0.087,0.09,0.093,0.09,0.496,0.089,0.088,0.559,0.088,0.089,0.458,0.088,0.089,0.761,0.085,0.086,0.086,0.086,0.088,0.086,0.088,0.087,0.088,0.089,0.087,0.086,0.084,0.086
6:27:25,37,0.088,0.088,0.088,0.52,0.089,0.089,0.508,0.088,0.092,0.513,0.084,0.092,0.085,0.085,0.086,0.085,0.087,0.088,0.087,0.088,0.089,0.086,0.086,0.085,0.087,0.084,0.084,0.083,0.084,0.086,0.084,0.084,0.086,0.084,0.087,0.085,0.725,0.089,0.089,0.662,0.088,0.088,0.723,0.088,0.088,0.546,0.087,0.089,0.086,0.086,0.085,0.085,0.085,0.087,0.086,0.087,0.087,0.09,0.087,0.088,0.087,0.086,0.086,0.085,0.085,0.087,0.089,0.087,0.087,0.09,0.093,0.09,0.508,0.089,0.088,0.573,0.088,0.088,0.465,0.088,0.088,0.811,0.085,0.086,0.086,0.086,0.088,0.086,0.088,0.087,0.088,0.09,0.088,0.086,0.084,0.086
6:42:25,37,0.088,0.088,0.088,0.535,0.089,0.089,0.511,0.088,0.092,0.528,0.084,0.092,0.085,0.085,0.086,0.085,0.086,0.088,0.086,0.087,0.089,0.086,0.086,0.085,0.087,0.084,0.083,0.083,0.084,0.088,0.084,0.084,0.087,0.085,0.087,0.085,0.691,0.089,0.089,0.676,0.088,0.088,0.741,0.088,0.088,0.547,0.086,0.089,0.086,0.086,0.085,0.085,0.085,0.087,0.086,0.087,0.087,0.09,0.087,0.088,0.087,0.086,0.086,0.085,0.084,0.088,0.089,0.087,0.087,0.09,0.093,0.091,0.512,0.089,0.088,0.63,0.088,0.088,0.463,0.088,0.089,0.775,0.084,0.086,0.086,0.086,0.088,0.086,0.088,0.087,0.088,0.09,0.088,0.086,0.084,0.086
6:57:25,37,0.088,0.088,0.088,0.543,0.089,0.089,0.521,0.088,0.092,0.542,0.084,0.091,0.085,0.085,0.086,0.085,0.086,0.089,0.086,0.088,0.088,0.086,0.086,0.085,0.087,0.084,0.083,0.083,0.084,0.085,0.084,0.084,0.088,0.085,0.088,0.085,0.746,0.089,0.089,0.691,0.088,0.088,0.756,0.088,0.088,0.561,0.086,0.089,0.086,0.086,0.085,0.085,0.085,0.088,0.087,0.088,0.087,0.089,0.087,0.088,0.087,0.086,0.086,0.085,0.086,0.088,0.09,0.088,0.087,0.09,0.093,0.091,0.521,0.089,0.088,0.648,0.088,0.089,0.474,0.088,0.089,0.754,0.084,0.086,0.086,0.087,0.089,0.087,0.088,0.087,0.089,0.09,0.088,0.086,0.084,0.085
7:12:25,37,0.088,0.088,0.088,0.548,0.089,0.089,0.514,0.088,0.091,0.548,0.083,0.091,0.085,0.085,0.086,0.085,0.087,0.089,0.086,0.087,0.089,0.086,0.085,0.085,0.087,0.084,0.083,0.083,0.084,0.085,0.084,0.084,0.086,0.085,0.087,0.085,0.645,0.089,0.089,0.714,0.088,0.088,0.772,0.088,0.088,0.579,0.085,0.089,0.086,0.086,0.085,0.085,0.086,0.087,0.087,0.088,0.087,0.088,0.087,0.088,0.087,0.086,0.086,0.085,0.086,0.088,0.089,0.088,0.086,0.09,0.093,0.091,0.534,0.089,0.088,0.67,0.088,0.088,0.483,0.088,0.088,0.845,0.084,0.085,0.086,0.087,0.088,0.087,0.089,0.087,0.089,0.09,0.088,0.086,0.084,0.085
7:27:25,37,0.088,0.088,0.088,0.544,0.089,0.089,0.518,0.088,0.091,0.554,0.083,0.092,0.085,0.085,0.086,0.085,0.086,0.089,0.086,0.086,0.088,0.085,0.085,0.085,0.087,0.084,0.083,0.083,0.084,0.087,0.084,0.084,0.086,0.085,0.088,0.085,0.689,0.089,0.089,0.703,0.088,0.088,0.763,0.088,0.088,0.575,0.086,0.089,0.086,0.087,0.085,0.085,0.086,0.087,0.087,0.089,0.087,0.089,0.087,0.088,0.087,0.086,0.086,0.086,0.086,0.088,0.089,0.089,0.086,0.09,0.092,0.091,0.533,0.089,0.088,0.67,0.088,0.089,0.486,0.089,0.088,0.721,0.084,0.086,0.086,0.087,0.088,0.087,0.089,0.087,0.089,0.09,0.088,0.087,0.084,0.085
7:42:25,37,0.088,0.088,0.088,0.531,0.089,0.089,0.521,0.088,0.091,0.562,0.083,0.091,0.085,0.085,0.086,0.084,0.086,0.089,0.086,0.087,0.088,0.085,0.085,0.085,0.087,0.084,0.083,0.083,0.083,0.085,0.084,0.084,0.087,0.084,0.087,0.085,0.649,0.089,0.089,0.706,0.088,0.088,0.782,0.088,0.088,0.579,0.087,0.089,0.086,0.086,0.085,0.085,0.086,0.088,0.087,0.088,0.087,0.088,0.087,0.088,0.087,0.086,0.086,0.086,0.085,0.088,0.09,0.089,0.086,0.09,0.093,0.092,0.539,0.089,0.088,0.645,0.088,0.089,0.5,0.088,0.089,0.748,0.084,0.086,0.087,0.086,0.088,0.087,0.089,0.088,0.089,0.09,0.089,0.087,0.084,0.085
7:57:25,37,0.088,0.088,0.088,0.541,0.089,0.089,0.524,0.088,0.092,0.579,0.083,0.092,0.085,0.085,0.086,0.085,0.086,0.09,0.086,0.087,0.089,0.085,0.085,0.085,0.088,0.084,0.083,0.084,0.084,0.086,0.084,0.084,0.086,0.086,0.087,0.085,0.652,0.089,0.089,0.703,0.088,0.088,0.767,0.088,0.088,0.584,0.086,0.089,0.087,0.087,0.086,0.086,0.086,0.088,0.087,0.088,0.087,0.088,0.087,0.088,0.087,0.086,0.087,0.086,0.086,0.089,0.089,0.089,0.086,0.09,0.094,0.092,0.544,0.089,0.088,0.64,0.088,0.089,0.507,0.089,0.089,0.773,0.085,0.086,0.087,0.086,0.088,0.087,0.089,0.088,0.089,0.091,0.088,0.087,0.084,0.085
8:12:25,37,0.088,0.088,0.088,0.551,0.089,0.089,0.52,0.088,0.092,0.591,0.083,0.092,0.085,0.085,0.086,0.085,0.086,0.09,0.086,0.086,0.089,0.085,0.085,0.085,0.087,0.084,0.083,0.084,0.083,0.084,0.084,0.084,0.087,0.086,0.086,0.085,0.662,0.089,0.089,0.708,0.088,0.088,0.764,0.088,0.088,0.593,0.086,0.089,0.087,0.086,0.086,0.086,0.086,0.088,0.087,0.088,0.087,0.087,0.087,0.089,0.087,0.086,0.087,0.086,0.086,0.088,0.09,0.09,0.086,0.09,0.093,0.092,0.548,0.089,0.088,0.599,0.088,0.089,0.53,0.089,0.089,0.692,0.084,0.086,0.087,0.086,0.088,0.087,0.089,0.088,0.089,0.091,0.089,0.087,0.084,0.085
