"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
280	"nm"	1	2	"B10"	10	"NM_g1864_pop2_rep1"	"B10"	0.9411	0.00719	0.9369	0.03017	0.1754	0.00902	6.4423	0.14764	0.0327	2.331	0	1864
1000	"jcvi"	1	2	"B11"	11	"NM_jcvi_pop2_rep1"	"B11"	0.8993	0.00196	0.6078	0.00925	0.077	0.00193	12.7678	0.10038	0.013	1.222	1	6657
0	"nm"	2	2	"C2"	12	"NM_g0_pop2_rep2"	"C2"	0.9409	0.00485	0.8896	0.00881	0.114	0.00293	7.1941	0.12164	0.0235	1.698	0	0
20	"nm"	2	2	"C3"	13	"NM_g133_pop2_rep2"	"C3"	0.9114	0.0121	0.8211	0.01855	0.1057	0.00644	4.5878	0.2823	0.046	3.259	0	133
40	"nm"	2	2	"C4"	14	"NM_g266_pop2_rep2"	"C4"	0.9396	0.01135	0.7802	0.01475	0.1792	0.01364	6.4345	0.2259	0.0531	3.739	0	266
60	"nm"	2	2	"C5"	15	"NM_g399_pop2_rep2"	"C5"	0.9139	0.01702	0.8174	0.02719	0.1215	0.01361	5.5841	0.42966	0.072	5.149	0	399
100	"nm"	2	2	"C6"	16	"NM_g666_pop2_rep2"	"C6"	0.9115	0.01292	0.788	0.0202	0.1136	0.00914	5.5066	0.32299	0.055	3.991	0	666
140	"nm"	2	2	"C7"	17	"NM_g932_pop2_rep2"	"C7"	0.9354	0.01308	0.675	0.0159	0.189	0.01812	5.989	0.25363	0.0592	4.301	0	932
200	"nm"	2	2	"C8"	18	"NM_g1331_pop2_rep2"	"C8"	0.938	0.01019	0.7705	0.01311	0.1806	0.01238	6.5225	0.20789	0.0473	3.356	0	1331
240	"nm"	2	2	"C9"	19	"NM_g1598_pop2_rep2"	"C9"	0.928	0.00881	0.7649	0.01172	0.1712	0.01051	6.8222	0.18576	0.0425	3.07	0	1598
280	"nm"	2	2	"C10"	20	"NM_g1864_pop2_rep2"	"C10"	0.9299	0.00754	1.0191	0.03591	0.1856	0.00899	6.0338	0.14025	0.0329	2.294	0	1864
1000	"jcvi"	2	2	"C11"	21	"NM_jcvi_pop2_rep2"	"C11"	0.902	0.00275	0.6113	0.00909	0.0917	0.00314	12.5804	0.1255	0.0182	1.675	0	6657
0	"nm"	3	2	"D2"	22	"NM_g0_pop2_rep3"	"D2"	0.9474	0.00646	0.8378	0.0092	0.1443	0.0053	6.447	0.13596	0.0303	2.112	0	0
20	"nm"	3	2	"D3"	23	"NM_g133_pop2_rep3"	"D3"	0.9143	0.01048	0.814	0.01541	0.1112	0.00591	4.6712	0.23667	0.0404	2.856	0	133
40	"nm"	3	2	"D4"	24	"NM_g266_pop2_rep3"	"D4"	0.9256	0.0109	0.7812	0.0146	0.1633	0.01197	6.3456	0.22953	0.0505	3.604	0	266
60	"nm"	3	2	"D5"	25	"NM_g399_pop2_rep3"	"D5"	0.9121	0.02169	0.8783	0.03306	0.1094	0.0106	3.9081	0.48604	0.071	4.836	0	399
100	"nm"	3	2	"D6"	26	"NM_g666_pop2_rep3"	"D6"	0.9209	0.0142	0.8	0.0197	0.1489	0.01442	5.3373	0.30728	0.0599	4.193	0	666
140	"nm"	3	2	"D7"	27	"NM_g932_pop2_rep3"	"D7"	0.9389	0.01744	0.7272	0.0212	0.2035	0.02526	5.7477	0.31861	0.0769	5.417	0	932
200	"nm"	3	2	"D8"	28	"NM_g1331_pop2_rep3"	"D8"	0.9375	0.00901	0.7565	0.01166	0.1624	0.00937	6.2113	0.18653	0.041	2.922	0	1331
240	"nm"	3	2	"D9"	29	"NM_g1598_pop2_rep3"	"D9"	0.9427	0.00974	0.7606	0.01269	0.1788	0.01226	6.74	0.20446	0.0462	3.293	0	1598
280	"nm"	3	2	"D10"	30	"NM_g1864_pop2_rep3"	"D10"	0.9412	0.0093	1.0837	0.05206	0.1504	0.00655	4.8099	0.16896	0.0332	2.263	0	1864
1000	"jcvi"	3	2	"D11"	31	"NM_jcvi_pop2_rep3"	"D11"	0.9001	0.00262	0.5839	0.00842	0.0857	0.00285	12.2707	0.12496	0.0171	1.579	0	6657
